input_dist_code,input_process_y_n,dist_name
555,n,Belagavi
556,n,Bagalkot
557,n,Bijapur
558,n,Bidar
559,n,Raichur
560,n,Koppal
561,n,Gadag
562,n,Dharwad
563,n,Uttara Kannada
564,y,Haveri
565,n,Bellary
566,n,Chitradurga
567,n,Davangere
568,n,Shimoga
569,n,Udupi
570,n,Chickmagalur
571,n,Tumkur
572,n,Bangalore Urban
573,n,Mandya
574,n,Hassan
575,n,Dakshina Kannada
576,n,Kodagu
577,n,Mysore
578,n,Chamarajanagar
579,n,Gulbarga
580,n,Yadgir
581,n,Kolar
582,n,Chikballapur
583,n,Bangalore Rural
584,n,Ramanagara
